selection_method,feature,MI_score,L1_coef,RFsel_importance
L1_Lasso,num__sig_int_em,0.1529868107022212,45.369254576445165,0.019309715391441922
L1_Lasso,num__job_dens_hm,0.26230647571688137,39.06300933919452,0.050284730452749386
L1_Lasso,cat__class_type_sec-sec,0.0,22.543113685033358,2.4207547771156197e-05
L1_Lasso,num__stv_mi_hm,0.3133154244284677,21.319703499266325,0.08501347655403832
L1_Lasso,num__stv_mi,0.18969632394509484,19.781520700222874,0.01610539091133272
L1_Lasso,num__Commercial Area_em,0.011832917955792333,-19.13162050737899,0.003913067204058839
L1_Lasso,num__Retail Area_em,0.14241249542727052,16.922998008365408,0.01737306988554877
L1_Lasso,cat__class_type_pri-sec,0.0,7.699297168188967,0.0021192580290248187
L1_Lasso,num__tstop_dens,0.04552789258843637,6.095357586748715,0.0012135109440647941
L1_Lasso,num__transit_stops_qm,0.18163710013146428,5.264779491006492,0.004895131090373582
L1_Lasso,cat__speed_type_35 mph-35 mph,0.0,-4.021551789330683,9.777767588059279e-08
L1_Lasso,cat__class_type_mot-sec,0.024537037037037912,-3.3826568615763466,6.942740011573828e-05
L1_Lasso,cat__class_type_pri-pri,0.020410171101130636,2.727099248277795,0.0035875955940885326
L1_Lasso,num__Number of,0.06943380410732813,2.3892454089554693,0.002051585598372564
L1_Lasso,num__swlk_len,0.15489307847255196,1.4531442530459087,0.013702064363798488
L1_Lasso,num__pop_dens_em,0.015012747885866151,0.5323430084876976,0.00142545440095053
L1_Lasso,cat__speed_type_20 mph-30 mph,0.1498931708434017,-0.1509628805630079,0.0008447455405248624
L1_Lasso,cat__speed_type_25 mph-55 mph,0.024537037037037912,-0.0044239566978356735,0.0001667445018320484
