selection,model,feature,coef,std_err,p_value
MutualInformation,GLM_NegativeBinomial,const,3.984091507379989,1.2940293538609606,0.0020781786470614664
MutualInformation,GLM_NegativeBinomial,num__bus_stops_hm,-0.1920158240518291,0.08240093488196319,0.01979227149958247
MutualInformation,GLM_NegativeBinomial,num__transit_stops_hm,0.18916040953831098,0.08447965004928354,0.025147850930119044
MutualInformation,GLM_NegativeBinomial,num__transit_stops_em,0.180272965909138,0.08355415564299384,0.03096218613894908
MutualInformation,GLM_NegativeBinomial,num__sig_dens_hm,-0.025548581460672286,0.018319388525331944,0.16313052931229632
MutualInformation,GLM_NegativeBinomial,num__sig_int_hm,-0.020065808956587952,0.01438801410236039,0.16313052931302396
MutualInformation,GLM_NegativeBinomial,num__sig_dens_qm,0.017094965630654164,0.012714383771365481,0.1787746420606382
MutualInformation,GLM_NegativeBinomial,num__stv_mi,0.0070466333485153495,0.002268398403871423,0.0018935760786585624
MutualInformation,GLM_NegativeBinomial,num__zch_em,-0.005241997553257213,0.008593047765031992,0.5418434284279559
MutualInformation,GLM_NegativeBinomial,num__sig_int_qm,0.003356588652656396,0.0024964634156928803,0.17877464202980442
MutualInformation,GLM_NegativeBinomial,num__isect_dens_hm,-0.002341517269355036,0.004668038793218032,0.6159445469286218
MutualInformation,GLM_NegativeBinomial,num__walk_comm_hm,-0.0020319049477352936,0.0014321258962948363,0.1559563703295696
MutualInformation,GLM_NegativeBinomial,num__isect_dens_em,-0.001704921305286414,0.0022233760614269304,0.44319066332149804
MutualInformation,GLM_NegativeBinomial,num__zch_qm,0.0012957260259154248,0.0043476499164974884,0.7656809827795403
MutualInformation,GLM_NegativeBinomial,num__hh_hm,0.0007238938284520181,0.0004077118546902777,0.07581478676111424
MutualInformation,GLM_NegativeBinomial,num__job_dens_hm,0.0003880416160254467,0.00014364852765114114,0.006906344310671737
MutualInformation,GLM_NegativeBinomial,num__job_dens_qm,-0.00036016692060511415,0.00014566836498288794,0.013416684804995275
MutualInformation,GLM_NegativeBinomial,num__job_dens_em,0.0002263302497814014,0.00010957135882477606,0.03886656544959329
MutualInformation,GLM_NegativeBinomial,num__job_dens,-6.157985102066187e-05,3.5227623730132423e-05,0.0804543703248457
MutualInformation,GLM_NegativeBinomial,num__stv_mi_hm,-6.026466619450626e-05,2.5418674043969348e-05,0.01774571549922178
MutualInformation,GLM_NegativeBinomial,num__dist_CBD,-4.824080382481328e-05,3.382354361064436e-05,0.15379640702988004
