selection_method,feature,MI_score,L1_coef,RFsel_importance
MutualInformation,num__transit_stops_hm,0.34141248974631555,0.0,0.014738415784224185
MutualInformation,num__dist_CBD,0.3298063739846273,-0.0,0.006256419666754845
MutualInformation,num__sig_dens_qm,0.31801706132301,0.0,0.05662308983012004
MutualInformation,num__isect_dens_em,0.31680468325543654,0.0,0.01353820922066349
MutualInformation,num__stv_mi_hm,0.3133154244284677,21.319703499266325,0.08501347655403832
MutualInformation,num__walk_comm_hm,0.3121831170381655,0.0,0.016602734163077587
MutualInformation,num__sig_int_qm,0.30236870312413533,0.0,0.060210143364476096
MutualInformation,num__job_dens_qm,0.28424670235458827,0.0,0.05121056218493023
MutualInformation,num__hh_hm,0.27381220046103794,0.0,0.012748067142362747
MutualInformation,num__transit_stops_em,0.26775723863633605,0.0,0.004500235567121074
MutualInformation,num__job_dens_hm,0.26230647571688137,39.06300933919452,0.050284730452749386
MutualInformation,num__job_dens_em,0.2551709831049569,0.0,0.1208640652306834
MutualInformation,num__sig_int_hm,0.2504714695382102,0.0,0.044687961669819296
MutualInformation,num__sig_dens_hm,0.24701234637890934,0.0,0.038815882908655064
MutualInformation,num__zch_qm,0.23676449735890692,0.0,0.020944365952063077
MutualInformation,num__job_dens,0.2323969023637169,0.0,0.01666382358111251
MutualInformation,num__bus_stops_hm,0.22775647129620236,0.0,0.009258560922206577
MutualInformation,num__isect_dens_hm,0.20068403390602718,0.0,0.03290583653742978
MutualInformation,num__zch_em,0.19133619744545927,0.0,0.004518478587766333
MutualInformation,num__stv_mi,0.18969632394509484,19.781520700222874,0.01610539091133272
