selection_method,feature,MI_score,L1_coef,RFsel_importance
RandomForest,num__job_dens_em,0.2551709831049569,0.0,0.1208640652306834
RandomForest,num__stv_mi_hm,0.3133154244284677,21.319703499266325,0.08501347655403832
RandomForest,num__sig_int_qm,0.30236870312413533,0.0,0.060210143364476096
RandomForest,num__sig_dens_qm,0.31801706132301,0.0,0.05662308983012004
RandomForest,num__job_dens_qm,0.28424670235458827,0.0,0.05121056218493023
RandomForest,num__job_dens_hm,0.26230647571688137,39.06300933919452,0.050284730452749386
RandomForest,num__sig_int_hm,0.2504714695382102,0.0,0.044687961669819296
RandomForest,num__sig_dens_hm,0.24701234637890934,0.0,0.038815882908655064
RandomForest,num__isect_dens_hm,0.20068403390602718,0.0,0.03290583653742978
RandomForest,num__sig_dens_em,0.1573908672067601,0.0,0.02614927159246168
RandomForest,num__zch_hm,0.1567374549198064,0.0,0.024297330888135113
RandomForest,num__zch_qm,0.23676449735890692,0.0,0.020944365952063077
RandomForest,num__sig_int_em,0.1529868107022212,45.369254576445165,0.019309715391441922
RandomForest,num__Retail Area_em,0.14241249542727052,16.922998008365408,0.01737306988554877
RandomForest,num__stv_ann,0.18969632394509484,0.0,0.017291833106865148
RandomForest,num__job_dens,0.2323969023637169,0.0,0.01666382358111251
RandomForest,num__walk_comm_hm,0.3121831170381655,0.0,0.016602734163077587
RandomForest,num__sig_dens,0.028218510438823508,0.0,0.016203500296483847
RandomForest,num__stv_mi,0.18969632394509484,19.781520700222874,0.01610539091133272
RandomForest,num__transit_stops_hm,0.34141248974631555,0.0,0.014738415784224185
