cv_strategy,winner_id,model,feature_selection,n_features,RMSE_mean,MAPE_mean,SMAPE_mean,avg_rank
5-Fold,L1_Lasso_20_HistGB_Poisson_tuned_v1,HistGB_Poisson_tuned_v1,L1_Lasso,20,79.79364751329926,48.563756844109335,47.83845889404733,2.3333333333333335
10-Fold,L1_Lasso_20_HistGB_SquaredError,HistGB_SquaredError,L1_Lasso,20,75.35212326204606,60.09083365735016,48.59674404509101,4.333333333333333
Repeated_5x10,L1_Lasso_25_Bagging_HistGB,Bagging_HistGB,L1_Lasso,25,78.99094567303273,61.708519753052975,49.57239588028861,6.333333333333333
Repeated_3x10,L1_Lasso_30_HistGB_Poisson_tuned_v1,HistGB_Poisson_tuned_v1,L1_Lasso,30,78.17933868476466,49.821644901391025,48.368845242326564,4.0
