id,feature_selection,n_features,model,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,SMAPE_mean,SMAPE_std,R2_train_mean,Corr_R2_val_mean,rank_RMSE,rank_MAPE,rank_SMAPE,avg_rank
MI_20_HistGB_Poisson_tuned_v2,MI,20,HistGB_Poisson_tuned_v2,85.52764845640097,34.243474640821944,73.37792242483079,31.569818290864593,55.99519786618012,11.473254365093968,0.9660053942859278,0.6878501379773075,42.0,28.0,35.0,35.0
RF_20_RandomForest_tuned,RF,20,RandomForest_tuned,79.69227454530093,37.30100722482206,95.37326413892815,49.888913084196055,56.589944134373326,14.22668347822557,0.9129351863206571,0.6985255525257484,17.0,48.0,40.0,35.0
MI_20_HistGB_Poisson_tuned_v1,MI,20,HistGB_Poisson_tuned_v1,97.55170521025279,46.333924795809,69.51138226054154,28.91770183939696,56.902306537495456,12.659523503345095,0.9928444974068442,0.6277869301564966,50.0,16.0,41.0,35.666666666666664
RF_20_RandomForest_default,RF,20,RandomForest_default,81.04982183370599,36.10448329696945,92.34490847686645,48.40750875240302,57.01255395539294,14.458124348095122,0.9398009107369298,0.6646728718659051,24.0,44.0,42.0,36.666666666666664
L1_Lasso_25_PoissonRegressor,L1_Lasso,25,PoissonRegressor,146.54097268863404,114.43185470832107,73.11677261754645,32.13286337678444,55.55279530904899,12.117736720180968,0.8524947077233163,0.5721173954995908,54.0,27.0,34.0,38.333333333333336
RF_20_GradientBoosting_Huber,RF,20,GradientBoosting_Huber,84.4504952374581,37.81744788624444,86.74303603000622,50.94787260734337,58.150291999392486,12.950603666404945,0.977477930457865,0.6404406899184,34.0,38.0,47.0,39.666666666666664
MI_20_Bagging_HistGB,MI,20,Bagging_HistGB,89.18538121170951,34.1748032225453,79.26673434890512,38.14634655747422,56.38478277030478,12.100710066882538,0.8802420688471669,0.6673742220139592,47.0,35.0,38.0,40.0
RF_20_Stack_RF+HistGB+ET,RF,20,Stack_RF+HistGB+ET,85.01375146149505,39.99324883793315,91.1049846493379,46.01633505035301,57.49523704509974,13.326313325315061,0.9649673593152797,0.6618663906157659,39.0,42.0,43.0,41.333333333333336
MI_20_RandomForest_tuned,MI,20,RandomForest_tuned,83.79204836440803,39.334173765962525,104.8786679506296,62.002447210761034,57.917464430238574,14.908739595466903,0.9080361076008724,0.6650253169294532,32.0,50.0,45.0,42.333333333333336
MI_20_GradientBoosting_Huber,MI,20,GradientBoosting_Huber,84.92039625553213,39.67056462871724,93.10633839059216,59.373662080104175,57.793875928979425,13.885972066724696,0.9794574910262939,0.6590392943214163,38.0,46.0,44.0,42.666666666666664
RF_20_ExtraTrees,RF,20,ExtraTrees,84.80591916565912,37.267248342598435,92.83473097496334,52.19635315937168,58.24549125825037,12.152930717957624,0.9954962416815242,0.6515562856739107,37.0,45.0,48.0,43.333333333333336
MI_20_Stack_RF+HistGB+ET,MI,20,Stack_RF+HistGB+ET,85.33682869891021,40.06872904806318,101.6638945754182,57.3931407679556,58.02544144673507,13.071491658485979,0.9533722185827167,0.6708881017547944,40.0,49.0,46.0,45.0
RF_20_HistGB_SquaredError,RF,20,HistGB_SquaredError,85.83364748214898,34.6591217832203,94.36127825067034,51.085708188182714,61.7103402462597,13.990733921887712,0.9925839409912133,0.5981809533003577,44.0,47.0,52.0,47.666666666666664
MI_20_RandomForest_default,MI,20,RandomForest_default,85.35739467809377,39.213187990870985,112.48608582494396,69.8268181377878,59.038295591318395,15.328512891520022,0.9329163993655117,0.6446438334527199,41.0,54.0,49.0,48.0
MI_20_ExtraTrees,MI,20,ExtraTrees,89.36188181303923,38.727643322485065,105.54885664147244,55.164214651481615,61.53338462247582,11.14609298451228,0.9954962420854303,0.6256414153929283,48.0,51.0,51.0,50.0
MI_20_HistGB_SquaredError,MI,20,HistGB_SquaredError,105.94433837752473,43.5469399774592,107.80593742106012,81.62897717050383,64.76818423767136,17.086463335562545,0.986869569977356,0.5214903733481249,51.0,52.0,55.0,52.666666666666664
RF_20_PoissonRegressor,RF,20,PoissonRegressor,172.67379536055685,162.82940402561636,111.44147217292054,59.23273130955768,61.77080653593327,13.127474288346846,0.7720097074405587,0.4819907087692148,55.0,53.0,53.0,53.666666666666664
MI_20_PoissonRegressor,MI,20,PoissonRegressor,145.96097566460364,119.30540931706578,149.98865112953948,163.66140445113575,63.30058296689718,14.077378915368561,0.7244036913580926,0.42214962937402795,53.0,55.0,54.0,54.0
