id,feature_selection,n_features,model,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,SMAPE_mean,SMAPE_std,R2_train_mean,Corr_R2_val_mean,cv_strategy,rank_RMSE,rank_MAPE,rank_SMAPE,avg_rank
L1_Lasso_25_HistGB_SquaredError,L1_Lasso,25,HistGB_SquaredError,87.72557524871561,15.310435999193762,72.27178901871369,17.73312795629085,63.67852260354316,14.4235753569744,0.9975363054808192,0.629480955675132,5-Fold,43.0,36.0,71.0,50.0
RF_20_HistGB_Poisson_tuned_v2,RF,20,HistGB_Poisson_tuned_v2,92.98729801735449,19.830969202371275,76.01756484219084,16.34282000566333,57.34068387986665,5.995583052630665,0.9638521736773168,0.5637803248087154,5-Fold,60.0,43.0,57.0,53.333333333333336
RF_20_HistGB_Poisson_default,RF,20,HistGB_Poisson_default,92.98729801735449,19.830969202371275,76.01756484219084,16.34282000566333,57.34068387986665,5.995583052630665,0.9638521736773168,0.5637803248087154,5-Fold,60.0,43.0,57.0,53.333333333333336
L1_Lasso_30_PoissonRegressor,L1_Lasso,30,PoissonRegressor,177.02058643196978,108.26860900080716,73.33737257716771,23.05970926989197,55.20355502998753,6.549664402721264,0.8740220596551168,0.3580908797014808,5-Fold,75.0,39.0,50.0,54.666666666666664
MI_20_GradientBoosting_Huber,MI,20,GradientBoosting_Huber,92.06477045103972,19.418696038462326,81.24104481874195,29.710477866128667,56.54242338283442,10.420764331477091,0.9782648009131784,0.5552333019804866,5-Fold,57.0,54.0,55.0,55.333333333333336
L1_Lasso_25_PoissonRegressor,L1_Lasso,25,PoissonRegressor,181.0938476823678,112.82023807316502,74.29401795455159,22.85251528710914,55.61553439849691,6.32639587134068,0.8700316724087334,0.3500984726258642,5-Fold,76.0,41.0,51.0,56.0
RF_20_Bagging_HistGB,RF,20,Bagging_HistGB,96.78147685932808,12.774910772109138,76.78933060503114,23.063105217832135,56.39218220599579,4.402327586850748,0.8640347625303214,0.5492543009400949,5-Fold,68.0,47.0,53.0,56.0
RF_20_RandomForest_default,RF,20,RandomForest_default,87.70314999774865,12.788110009327214,90.92157774566238,30.230108821882975,58.51514150004861,5.826660759639306,0.9369265049904405,0.5886561507427058,5-Fold,42.0,67.0,60.0,56.333333333333336
L1_Lasso_10_GradientBoosting_Huber,L1_Lasso,10,GradientBoosting_Huber,91.74452341248377,19.6646059181268,75.66974570333278,25.12144135398494,64.86422910806672,11.837089050749794,0.9886752488893755,0.5888826343366266,5-Fold,56.0,42.0,75.0,57.666666666666664
RF_20_ExtraTrees,RF,20,ExtraTrees,90.10201669766161,12.770617945932514,89.56023098936585,35.50031525008709,57.401429850785135,5.734841708380662,0.9960556404881433,0.5675659549784167,5-Fold,51.0,66.0,59.0,58.666666666666664
