id,feature_selection,n_features,model,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,SMAPE_mean,SMAPE_std,R2_train_mean,Corr_R2_val_mean,cv_strategy,rank_RMSE,rank_MAPE,rank_SMAPE,avg_rank
RF_20_RandomForest_tuned,RF,20,RandomForest_tuned,79.65053228382662,36.42006394227237,93.63225181117794,47.70195413524781,56.34640122774596,14.71127433102682,0.9130046980066265,0.6858743023314253,Repeated_5x10,12.0,70.0,58.0,46.666666666666664
L1_Lasso_15_HistGB_Poisson_default,L1_Lasso,15,HistGB_Poisson_default,89.95019033788328,35.42844611680196,70.01828347764759,27.70882472655328,54.184377964810444,12.87636801703882,0.9761215231996158,0.5920270088882744,Repeated_5x10,64.0,35.0,43.0,47.333333333333336
L1_Lasso_15_HistGB_Poisson_tuned_v2,L1_Lasso,15,HistGB_Poisson_tuned_v2,89.95019033788328,35.42844611680196,70.01828347764759,27.70882472655328,54.184377964810444,12.87636801703882,0.9761215231996158,0.5920270088882744,Repeated_5x10,64.0,35.0,43.0,47.333333333333336
L1_Lasso_30_PoissonRegressor,L1_Lasso,30,PoissonRegressor,133.18600884691728,94.29109325740193,69.40855778615062,29.562762046306247,53.771676965449494,12.538859320507285,0.8567365499895122,0.5890430035579194,Repeated_5x10,74.0,30.0,39.0,47.666666666666664
MI_20_HistGB_Poisson_tuned_v2,MI,20,HistGB_Poisson_tuned_v2,86.32692944312186,33.647279911980206,71.85805369417461,33.26408863352062,55.583413234984455,11.63581022124826,0.9661863180239864,0.6637929942092164,Repeated_5x10,59.0,39.0,51.0,49.666666666666664
MI_20_HistGB_Poisson_default,MI,20,HistGB_Poisson_default,86.32692944312186,33.647279911980206,71.85805369417461,33.26408863352062,55.583413234984455,11.63581022124826,0.9661863180239864,0.6637929942092164,Repeated_5x10,59.0,39.0,51.0,49.666666666666664
RF_20_RandomForest_default,RF,20,RandomForest_default,81.27903562459115,35.69081736766415,91.12788203333508,45.65485347619234,56.94871566837069,14.794977922017683,0.9397251811125493,0.6546954390121607,Repeated_5x10,23.0,68.0,60.0,50.333333333333336
MI_20_HistGB_Poisson_tuned_v1,MI,20,HistGB_Poisson_tuned_v1,96.92401309176915,46.52164460681793,67.49450751047046,27.93682274647748,56.46887763483618,12.482197633016982,0.9927876369382987,0.5858492585798785,Repeated_5x10,70.0,22.0,59.0,50.333333333333336
L1_Lasso_25_PoissonRegressor,L1_Lasso,25,PoissonRegressor,140.9182256599371,107.23626557028862,71.39476781673928,30.98684965249557,54.69117349210138,12.622310650647565,0.8521308297494226,0.5728243697555981,Repeated_5x10,75.0,38.0,49.0,54.0
L1_Lasso_10_Bagging_HistGB,L1_Lasso,10,Bagging_HistGB,90.27472401972611,34.391608362615266,76.43991439153302,31.095549574149043,55.61910763295887,13.921696325762612,0.8685685386170878,0.5821128109793503,Repeated_5x10,66.0,49.0,53.0,56.0
MI_20_RandomForest_tuned,MI,20,RandomForest_tuned,82.78096943312161,39.43989476013112,102.0637414813511,58.536581841505175,57.526455621268816,15.32545277211084,0.9080948740180608,0.6543761363585162,Repeated_5x10,36.0,72.0,62.0,56.666666666666664
MI_20_Bagging_HistGB,MI,20,Bagging_HistGB,89.51531642631595,34.65728697793921,78.17806518166321,40.0609198128559,56.11225595367442,12.12629148474871,0.8795777073569954,0.6389097587757484,Repeated_5x10,63.0,52.0,56.0,57.0
RF_20_GradientBoosting_Huber,RF,20,GradientBoosting_Huber,84.27049661493143,37.00964621054554,85.26633667153499,48.328819659739146,57.881058055250044,13.791936787938527,0.9771649544323021,0.6388026462383426,Repeated_5x10,49.0,58.0,65.0,57.333333333333336
MI_20_GradientBoosting_Huber,MI,20,GradientBoosting_Huber,84.1280435159272,40.288656416071476,89.96183479152054,53.45048066131967,57.680602604066834,13.784211221246682,0.9792812642812005,0.6450355019303451,Repeated_5x10,42.0,66.0,64.0,57.333333333333336
L1_Lasso_10_GradientBoosting_Huber,L1_Lasso,10,GradientBoosting_Huber,84.566945977254,37.454521022166695,76.73043784314137,28.238191405390783,60.79141695944765,14.485863683080405,0.9886459149976625,0.6596896398060476,Repeated_5x10,50.0,51.0,71.0,57.333333333333336
RF_20_Stack_RF+HistGB+ET,RF,20,Stack_RF+HistGB+ET,85.58680350320003,39.35864775453647,88.79820501370712,44.21894493719026,57.11504519827476,14.055805766871035,0.9660614393090338,0.6628642326909493,Repeated_5x10,57.0,63.0,61.0,60.333333333333336
RF_20_ExtraTrees,RF,20,ExtraTrees,84.69130047305974,36.79494243562312,89.96621554179197,48.34975267507263,57.5920346866471,12.282803603085357,0.9954971786652683,0.6482799916182346,Repeated_5x10,52.0,67.0,63.0,60.666666666666664
MI_20_RandomForest_default,MI,20,RandomForest_default,84.15811357040393,39.19895118365232,109.24217624912491,63.97071727117926,58.48831540364488,15.482535794623924,0.9328707661843961,0.6371115295339514,Repeated_5x10,43.0,75.0,67.0,61.666666666666664
L1_Lasso_10_HistGB_SquaredError,L1_Lasso,10,HistGB_SquaredError,84.64589477812818,34.640732283123185,86.06276403927585,30.261802612646946,71.04812266220293,18.371697680308717,0.9899411372505044,0.6688170488114717,Repeated_5x10,51.0,59.0,77.0,62.333333333333336
L1_Lasso_10_HistGB_Poisson_tuned_v2,L1_Lasso,10,HistGB_Poisson_tuned_v2,95.24319139467713,33.747788985605105,80.15765130654663,38.94700422842882,58.51939886497511,14.120969102230788,0.9519150125174193,0.5614764367724787,Repeated_5x10,68.0,53.0,68.0,63.0
L1_Lasso_10_HistGB_Poisson_default,L1_Lasso,10,HistGB_Poisson_default,95.24319139467713,33.747788985605105,80.15765130654663,38.94700422842882,58.51939886497511,14.120969102230788,0.9519150125174193,0.5614764367724787,Repeated_5x10,68.0,53.0,68.0,63.0
MI_20_Stack_RF+HistGB+ET,MI,20,Stack_RF+HistGB+ET,85.37386255435557,40.5059158956074,98.98805241798131,53.49371794330232,58.12909390009758,13.531625429873776,0.9496334840105868,0.6667461526856973,Repeated_5x10,54.0,71.0,66.0,63.666666666666664
RF_20_HistGB_SquaredError,RF,20,HistGB_SquaredError,87.55796190506517,33.75192674279929,92.67516943517394,50.84822848617147,61.73147927536424,16.148743046925333,0.9925392120601785,0.5901704872987795,Repeated_5x10,61.0,69.0,74.0,68.0
MI_20_ExtraTrees,MI,20,ExtraTrees,88.74394353277228,39.15137541404387,103.71536443208592,55.415374407488905,61.2064880748424,12.160522024635501,0.9954971789828123,0.6216620498653037,Repeated_5x10,62.0,74.0,72.0,69.33333333333333
MI_20_HistGB_SquaredError,MI,20,HistGB_SquaredError,104.11984522746029,45.168937767410604,102.31955707600082,71.11998333760742,64.51542937553529,17.3758302315115,0.9865895019525684,0.5181830907143237,Repeated_5x10,71.0,73.0,76.0,73.33333333333333
RF_20_PoissonRegressor,RF,20,PoissonRegressor,169.017622802706,172.61571791941,109.35737709250571,58.39270315488235,61.40299206941782,14.46907378707481,0.7718668197965076,0.4903319656466468,Repeated_5x10,77.0,76.0,73.0,75.33333333333333
MI_20_PoissonRegressor,MI,20,PoissonRegressor,143.33919188187383,131.67391160976032,142.98619318962355,147.28071705713197,63.15990239782149,14.343544141730831,0.7244476320965884,0.44652336479417604,Repeated_5x10,76.0,77.0,75.0,76.0
