id,feature_selection,n_features,model,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,SMAPE_mean,SMAPE_std,R2_train_mean,Corr_R2_val_mean,cv_strategy,rank_RMSE,rank_MAPE,rank_SMAPE,avg_rank
L1_Lasso_20_HistGB_SquaredError,L1_Lasso,20,HistGB_SquaredError,75.35212326204606,38.7834225962629,60.09083365735016,32.89937513249502,48.59674404509101,16.43070443226936,0.9977871893395598,0.6984907713079531,10-Fold,1.0,8.0,4.0,4.333333333333333
L1_Lasso_20_Stack_RF+HistGB+ET,L1_Lasso,20,Stack_RF+HistGB+ET,76.1291330877099,32.87748259564327,61.70398240239833,22.011669497158202,48.97085789020743,11.728151650896281,0.9570931020759526,0.7370624418131972,10-Fold,2.0,12.0,8.0,7.333333333333333
L1_Lasso_25_Bagging_HistGB,L1_Lasso,25,Bagging_HistGB,80.39443206399872,35.28378810526314,59.5916416612621,19.137512242668826,48.78114668026939,11.813932269470719,0.909499330443442,0.6873172941007153,10-Fold,18.0,6.0,5.0,9.666666666666666
L1_Lasso_30_Bagging_HistGB,L1_Lasso,30,Bagging_HistGB,80.39443206399872,35.28378810526314,59.5916416612621,19.137512242668826,48.78114668026939,11.813932269470719,0.909499330443442,0.6873172941007153,10-Fold,18.0,6.0,5.0,9.666666666666666
L1_Lasso_20_HistGB_Poisson_tuned_v1,L1_Lasso,20,HistGB_Poisson_tuned_v1,80.48651473609728,37.603339746145295,49.982844174743256,13.476784405596995,48.80410786174812,11.951329848841826,0.9971188052705454,0.695593478040304,10-Fold,21.0,3.0,7.0,10.333333333333334
L1_Lasso_30_HistGB_Poisson_tuned_v1,L1_Lasso,30,HistGB_Poisson_tuned_v1,81.68791761426122,37.360074571404006,47.710918156392054,13.320199526183082,47.35548799323974,9.995396088331695,0.997775688291549,0.6668868051879075,10-Fold,28.0,1.0,2.0,10.333333333333334
L1_Lasso_30_Stack_RF+HistGB+ET,L1_Lasso,30,Stack_RF+HistGB+ET,76.75547324734421,31.8350751101502,63.77844006564588,21.738739757592406,49.77098284506074,9.829746144339518,0.9789851542908226,0.7128994496358845,10-Fold,3.0,20.0,10.0,11.0
L1_Lasso_25_HistGB_Poisson_tuned_v1,L1_Lasso,25,HistGB_Poisson_tuned_v1,81.69055024741155,37.21756720379253,48.2172639396634,13.407037382199192,47.660888638272574,9.774332332686912,0.9977691741282259,0.6658690403555861,10-Fold,29.0,2.0,3.0,11.333333333333334
L1_Lasso_15_HistGB_Poisson_tuned_v1,L1_Lasso,15,HistGB_Poisson_tuned_v1,80.66554090596563,36.75782371063771,56.564183944342645,20.85313139557767,50.93736509378273,14.104323887911434,0.9973619706201065,0.6903659334215113,10-Fold,23.0,4.0,18.0,15.0
L1_Lasso_25_Stack_RF+HistGB+ET,L1_Lasso,25,Stack_RF+HistGB+ET,77.67730783215033,32.14113722047477,65.71777059327164,22.698103103657225,50.40276767546871,10.354946831622941,0.9734429682287973,0.7052640818959424,10-Fold,8.0,21.0,16.0,15.0
L1_Lasso_20_HistGB_Poisson_tuned_v2,L1_Lasso,20,HistGB_Poisson_tuned_v2,81.60790783070861,32.891329079824295,60.14978220569433,17.68055492027277,50.01856966886232,10.010021244535968,0.9797478719206971,0.6543715948877739,10-Fold,26.0,9.0,13.0,16.0
L1_Lasso_20_HistGB_Poisson_default,L1_Lasso,20,HistGB_Poisson_default,81.60790783070861,32.891329079824295,60.14978220569433,17.68055492027277,50.01856966886232,10.010021244535968,0.9797478719206971,0.6543715948877739,10-Fold,26.0,9.0,13.0,16.0
L1_Lasso_20_Bagging_HistGB,L1_Lasso,20,Bagging_HistGB,81.91626226206847,34.108257538683084,60.403564742192714,17.696355063265624,49.53941925124369,7.91251578464783,0.9000395977919787,0.6727921963645054,10-Fold,31.0,11.0,9.0,17.0
L1_Lasso_25_HistGB_SquaredError,L1_Lasso,25,HistGB_SquaredError,77.47089390410329,37.00522936098421,68.43555944362372,33.30399130333752,51.59767744163147,18.124301291555888,0.9983126941391722,0.6960127263132739,10-Fold,5.0,27.0,21.0,17.666666666666668
L1_Lasso_20_GradientBoosting_Huber,L1_Lasso,20,GradientBoosting_Huber,79.2575464068622,35.36134649111308,65.76941719704254,25.998691710167886,52.29473215190497,16.67342305354682,0.9916765644840237,0.7081601080340393,10-Fold,14.0,22.0,24.0,20.0
L1_Lasso_15_Stack_RF+HistGB+ET,L1_Lasso,15,Stack_RF+HistGB+ET,79.01860381465713,33.57478086550574,70.45849776303099,33.14788875245865,51.126393793020654,12.141841518807155,0.9538869239476645,0.7289819871647809,10-Fold,13.0,34.0,19.0,22.0
L1_Lasso_15_Bagging_HistGB,L1_Lasso,15,Bagging_HistGB,83.86026921949168,33.11003072503658,63.26091879218652,19.576244402925685,49.86413026282817,6.758434551235441,0.8951457194739554,0.6754881059204413,10-Fold,38.0,19.0,11.0,22.666666666666668
L1_Lasso_15_PoissonRegressor,L1_Lasso,15,PoissonRegressor,91.40523602691579,48.208928649402964,59.400657850629635,29.839109171048186,46.80386102221037,8.849277392304325,0.8293344970647546,0.6703558688404943,10-Fold,68.0,5.0,1.0,24.666666666666668
RF_20_HistGB_Poisson_default,RF,20,HistGB_Poisson_default,78.47505159502154,39.430442475932786,67.41897951921798,33.11707987922927,53.867120204568224,9.97556540514264,0.9774631414189194,0.7019576911922334,10-Fold,10.0,24.0,46.0,26.666666666666668
RF_20_HistGB_Poisson_tuned_v2,RF,20,HistGB_Poisson_tuned_v2,78.47505159502154,39.430442475932786,67.41897951921798,33.11707987922927,53.867120204568224,9.97556540514264,0.9774631414189194,0.7019576911922334,10-Fold,10.0,24.0,46.0,26.666666666666668
L1_Lasso_30_HistGB_SquaredError,L1_Lasso,30,HistGB_SquaredError,77.51229640052193,36.941190337537755,69.61810762114628,32.20592743154626,53.60663987869393,15.372170771277949,0.9983586204309034,0.695264274645124,10-Fold,6.0,33.0,42.0,27.0
L1_Lasso_25_HistGB_Poisson_default,L1_Lasso,25,HistGB_Poisson_default,85.05432108960647,31.767563158057193,62.61752662221185,18.432150576131736,52.313018252336576,11.740554673307022,0.9846404248506886,0.6306622286963616,10-Fold,47.0,14.0,26.0,29.0
L1_Lasso_25_HistGB_Poisson_tuned_v2,L1_Lasso,25,HistGB_Poisson_tuned_v2,85.05432108960647,31.767563158057193,62.61752662221185,18.432150576131736,52.313018252336576,11.740554673307022,0.9846404248506886,0.6306622286963616,10-Fold,47.0,14.0,26.0,29.0
L1_Lasso_30_HistGB_Poisson_default,L1_Lasso,30,HistGB_Poisson_default,85.05432108960647,31.767563158057193,62.61752662221185,18.432150576131736,52.313018252336576,11.740554673307022,0.9846404248506886,0.6306622286963616,10-Fold,47.0,14.0,26.0,29.0
