method,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PoissonDev_mean,PoissonDev_std,n_folds
RFSelect->Ridge,61.78796691358115,16.709745772761742,92.28320915458924,28.099686435242628,0.5206581671308992,0.21561341504405657,60.76364242180217,30.992290250973934,25
LassoSelect->Ridge,62.65555453489031,14.696946567796612,91.22448650148536,25.805486816708363,0.5225744517188952,0.23263315338672813,70.36952341364956,30.73592718225487,25
MI(TopK)->Ridge,64.78254268542388,13.954373328422912,92.96563738865648,24.667776298285236,0.5006772342911703,0.24362669735229786,59.1452325189483,24.699071826231624,25
