split,feature_selection_method,feature_name
Split04,MutualInformation,num__job_dens_em
Split04,MutualInformation,num__bus_stops_em
Split04,MutualInformation,cat__speed_type_20 mph-30 mph
Split04,MutualInformation,cat__crossing_class_unmarked
Split04,L1_Lasso,num__Number of
Split04,L1_Lasso,num__stv_mi
Split04,L1_Lasso,num__sig_int
Split04,L1_Lasso,num__bus_stops_em
Split04,L1_Lasso,num__sig_int_em
Split04,L1_Lasso,num__Commercial Area_em
Split04,L1_Lasso,num__Retail Area_em
Split04,L1_Lasso,num__transit_stops_em
Split04,L1_Lasso,num__job_dens_hm
Split04,L1_Lasso,num__transit_stops_hm
Split04,L1_Lasso,cat__class_type_mot-sec
Split04,L1_Lasso,cat__class_type_pri-pri
Split04,L1_Lasso,cat__class_type_pri-ter
Split04,L1_Lasso,cat__class_type_sec-sec
Split04,L1_Lasso,cat__class_type_sec-ter
Split04,L1_Lasso,cat__speed_type_20 mph-30 mph
Split04,L1_Lasso,cat__speed_type_25 mph-55 mph
Split04,L1_Lasso,cat__speed_type_35 mph-35 mph
Split04,RandomForest,num__stv_mi_hm
Split04,RandomForest,num__zch_hm
Split04,RandomForest,num__job_dens_hm
Split04,RandomForest,num__job_dens_em
Split04,RandomForest,num__sig_int_hm
Split04,RandomForest,num__sig_dens_hm
Split04,RandomForest,num__job_dens_qm
Split04,RandomForest,num__sig_dens_qm
Split04,RandomForest,num__sig_int_qm
Split04,RandomForest,num__stv_mi_qm
Split04,RandomForest,num__sig_dens_em
Split04,RandomForest,num__stv_mi
Split04,RandomForest,num__job_dens
Split04,RandomForest,num__sig_int
Split04,RandomForest,num__stv_ann
Split04,RandomForest,num__transit_stops_hm
Split04,RandomForest,num__zch_qm
Split04,RandomForest,num__sig_dens
Split04,RandomForest,num__sig_int_em
Split04,RandomForest,num__walk_comm_hm
Split05,MutualInformation,num__job_dens_hm
Split05,MutualInformation,num__sig_dens_hm
Split05,MutualInformation,num__sig_int_hm
Split05,MutualInformation,num__dist_CBD
Split05,MutualInformation,num__sig_dens_qm
Split05,MutualInformation,num__walk_comm_hm
Split05,MutualInformation,num__job_dens_em
Split05,MutualInformation,num__sig_int_qm
Split05,MutualInformation,num__stv_mi_hm
