model,pseudo_R2_train,MAPE_test,RMSE_test
RandomForest,0.9393965686833019,49.24933793838921,102.61857150730565
HistGB_Poisson,0.9661032156567331,36.35806263484078,106.44657604630218
GLM_NegativeBinomial,0.9999999999996034,25455.336546817147,340698.8591464388
