feature_selection,n_features_mean,n_features_std,pseudo_R2_train_mean,pseudo_R2_train_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std
All_features,91.4,0.8944271909999167,0.9657282932062771,0.005489738782161599,52.27032458903047,8.79226990733078,84.11138792141917,17.066771278205024
L1_Lasso,15.8,2.3874672772626644,0.9152599239598649,0.030222480969168602,56.78172742363516,11.052483276363187,99.94708723085837,13.670308647714041
RandomForest,20.0,0.0,0.8909605914288005,0.022578970351274336,61.37374951569219,9.558063695387839,110.06901306188267,12.010447168692659
MutualInformation,20.0,0.0,0.8844871318725243,0.020747666591910963,61.96757471523307,8.311466519800453,99.52483180229066,13.158518848055428
