fold,feature_selection,n_features,pseudo_R2_train,SMAPE_val,RMSE_val
1,All_features,92,0.9740739198401825,49.77634629935185,71.78831746678878
1,MutualInformation,20,0.9011243634332076,56.985534700274854,93.88773528946282
1,L1_Lasso,14,0.9398543219896037,57.21368010577539,94.2130474978244
1,RandomForest,20,0.9128313798563523,61.96546608002388,93.60976127175061
2,All_features,92,0.96641658801942,60.1022254416026,109.26511850291124
2,MutualInformation,20,0.90857849562197,73.26665073460688,106.5328396356782
2,L1_Lasso,19,0.9300295542128612,68.83919344248186,120.0010381489177
2,RandomForest,20,0.8767693627978118,67.08126562492292,126.24735169239547
3,All_features,91,0.9665606642028505,62.2078947796869,91.87363059742755
3,MutualInformation,20,0.8595597266722829,67.68237689030218,117.64904182019094
3,L1_Lasso,17,0.9152467560462068,65.96525082272657,103.87518079902739
3,RandomForest,20,0.9135385026464714,72.3815534091344,115.45349485038062
4,All_features,90,0.9600667963972996,48.254166337195194,66.45816190169151
4,MutualInformation,20,0.8688905294025937,59.01682546972402,96.60297898782449
4,L1_Lasso,13,0.8635195459959806,49.39961338493455,82.74396246397265
4,RandomForest,20,0.8618318934047061,58.26829187841718,106.43512340880507
5,All_features,92,0.9615234975716325,41.01099008731584,81.17171113827675
5,MutualInformation,20,0.8842825442325671,52.886485781257406,82.9515632782969
5,L1_Lasso,16,0.9276494415546719,42.49089936225746,98.9022072445497
5,RandomForest,20,0.8898318184386603,47.17217058596259,108.59933408608157
