stage,model,pseudo_R2_train,MAPE_test,RMSE_test
nb1a_features,RandomForest,0.9391203166731248,61.95179248997859,111.85867822263053
nb1a_features,HistGB_Poisson,0.8165488859004633,40.754725884696484,93.56025636777858
nb2a_features,RandomForest,0.9008523354859408,80.4436571891351,113.30092882401273
nb2a_features,HistGB_Poisson,0.6551742473256807,55.65177831723505,121.69031978560025
nb3a_features,RandomForest,0.9433956525643573,55.81638261527645,101.29812475510097
nb3a_features,HistGB_Poisson,0.8854409613728554,53.399065199204756,92.71807213323278
