feature_selection,n_features,pseudo_R2_train,MAPE_test,RMSE_test
All_features,307,0.9661032156567331,36.35806263484078,106.44657604630218
MutualInformation,20,0.8853867500026431,47.746628353534746,113.00449412261045
L1_Lasso,36,0.9088916918359857,46.88632026403596,97.70224672018865
RandomForest,20,0.8899500943664524,42.69968429441964,114.62290450220495
