stage,model,pseudo_R2_train_mean,pseudo_R2_train_std,MAPE_val_mean,MAPE_val_std,RMSE_val_mean,RMSE_val_std
nb1a_features,GLM_NegativeBinomial,0.8007916863624043,0.017834271690953227,93.82129635868927,40.92802619282278,96.86686992741927,18.000832136191423
nb1a_features,HistGB_Poisson,0.8430763703262301,0.01669252496644482,227502098430.33627,368455155456.67773,99.42472249737231,11.796557889529605
nb1a_features,RandomForest,0.9318109125800742,0.016932198073596545,147778333435.5315,215696424014.91714,92.1414967543155,29.071513029318748
nb2a_features,GLM_NegativeBinomial,0.3982487125211172,0.04870047160425301,129472675388.2458,178199178233.9032,154.88765908929395,34.46755409047825
nb2a_features,HistGB_Poisson,0.6709825727081729,0.023598620426198372,183264904903.55414,251311694392.00595,123.36778045905744,13.46226052788835
nb2a_features,RandomForest,0.9056174859353116,0.007959444921940543,99783904879.46922,136762242945.1968,103.49759038131249,10.087778485329954
nb3a_features,GLM_NegativeBinomial,0.8428194814971061,0.012958552086501093,74.03776844007355,19.71219011243795,93.55680580895451,11.41601657824503
nb3a_features,HistGB_Poisson,0.8910227313370316,0.02042003437498287,183246940699.97208,270803591176.47998,89.75717456883824,27.3360397916169
nb3a_features,RandomForest,0.9356329700350965,0.013580118638821883,142248095323.72308,206686322341.48456,89.76184275353032,19.113896010307453
