feature_selection,n_splits,n_features_mean,n_features_std,pseudo_R2_train_mean,pseudo_R2_train_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,pseudo_R2_train_se,SMAPE_val_se,RMSE_val_se
All_features,25,91.36,0.6377042156569663,0.9667714054187398,0.006161966007118721,50.79918398193744,8.923812994988966,83.33869327019089,25.939393454364776,0.0012323932014237443,1.784762598997793,5.187878690872955
MutualInformation,25,20.0,0.0,0.8876179473553701,0.01837228347010283,57.212809808023415,10.107329332394775,93.97414888627743,22.38611541029334,0.0036744566940205663,2.021465866478955,4.477223082058668
RandomForest,25,20.0,0.0,0.8972271320125101,0.018592579876179658,57.57732084180241,10.798769790731699,99.42419625084044,25.64559112073582,0.0037185159752359314,2.15975395814634,5.129118224147164
L1_Lasso,25,12.88,5.158488150611572,0.866926634049095,0.05341553129921991,57.986471322936374,10.081485600216912,107.50584365403336,29.82514370748468,0.010683106259843981,2.016297120043382,5.965028741496936
