model,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,SMAPE_mean,SMAPE_std,Corr_R2_mean,Corr_R2_std,McFadden_R2_mean,McFadden_R2_std
GLM_NegBinomial (statsmodels) | R-code nb3a features,89.7528924009515,34.43833418644897,66.07582853872199,35.46907242263101,49.59697303499306,12.040419985040103,0.6601390942413816,0.23576062298482428,0.8118983198441524,0.013161671249889716
HistGB_Poisson (Default) | R-code nb3a features,90.26825864782218,43.05466186173877,66.07131629152,23.19632238314077,50.17596663631517,10.767876269912072,0.6138334986771441,0.27538263237332755,0.9002612690331244,0.010381079670299003
HistGB_Poisson (Default) | L1 Lasso 18 features,83.6320852979749,37.07157288627913,65.00906196845123,22.315389998184443,52.16275642773873,14.133527389323872,0.6361816316097214,0.23342879177107664,0.9787336118311035,0.0032818818665772613
