selection,model,n_features,pseudo_R2_train,MAPE_test,RMSE_test,pseudo_R2_train_glmdev
L1_Lasso,GLM_NegativeBinomial,18,0.8491406592349423,56.22776365832491,212.09670478121114,0.8328770703000554
L1_Lasso,HistGB_Poisson,18,0.9245467262118012,45.114953748820675,133.60110958118392,
L1_Lasso,RandomForest,18,0.9528722843774797,46.075581744746025,96.3334984679964,
MutualInformation,GLM_NegativeBinomial,20,0.7356888462422374,60.59424614835304,158.3909493372621,0.5675776662659084
MutualInformation,HistGB_Poisson,20,0.8853867500026431,47.746628353534746,113.00449412261045,
MutualInformation,RandomForest,20,0.9298077166788312,57.13632148796599,103.90710852275699,
RandomForest,GLM_NegativeBinomial,20,0.7367399090289726,69.46608265687249,131.3940985679121,0.6058709763450132
RandomForest,HistGB_Poisson,20,0.8947755666541247,45.52980634061056,113.66423120078261,
RandomForest,RandomForest,20,0.9426592283711888,55.67229701418572,102.73022608472154,
