fold,feature_selection,model,n_features_used,pseudo_R2_train,SMAPE_val,RMSE_val
1,MutualInformation,RandomForest,20,0.93703639705885,46.56423745124186,90.50262898926674
1,MutualInformation,HistGB_Poisson,20,0.9052032706683506,55.584846716872626,93.8058703870821
1,MutualInformation,GLM_NegativeBinomial,20,0.6999016462496328,68.50730327131525,119.68370363997106
1,L1_Lasso,RandomForest,20,0.9553791627888597,52.39109972359988,80.44873293280219
1,L1_Lasso,HistGB_Poisson,20,0.9433090806035636,54.17380092801973,81.2711764081157
1,L1_Lasso,GLM_NegativeBinomial,20,0.7832364574801269,62.02411695663139,150.4216760386788
1,RandomForest,RandomForest,20,0.9437273802083043,47.76095330442684,85.33291132776468
1,RandomForest,HistGB_Poisson,20,0.9044379309612148,49.177111984473186,100.68110478843337
1,RandomForest,GLM_NegativeBinomial,20,0.7164926722531749,65.21434235560926,1825.8238854525348
2,MutualInformation,RandomForest,20,0.9411425971370877,78.26840691954467,116.86995309597758
2,MutualInformation,HistGB_Poisson,20,0.8722326091511258,66.33525123526753,92.71796947921646
2,MutualInformation,GLM_NegativeBinomial,20,0.6724518560597856,78.78782203193927,125.02408093721418
2,L1_Lasso,RandomForest,20,0.9524356603489668,65.64788157843999,102.2949798408711
2,L1_Lasso,HistGB_Poisson,20,0.9342154994086564,60.51112200741311,98.69949913287957
2,L1_Lasso,GLM_NegativeBinomial,20,0.8110879361458707,60.497296276251134,121.30799083657996
2,RandomForest,RandomForest,20,0.9410062666786343,72.35210896142645,111.22786855256595
2,RandomForest,HistGB_Poisson,20,0.8643933102661274,62.983176632890505,104.09483653959587
2,RandomForest,GLM_NegativeBinomial,20,0.7638435391974228,73.94793566087087,160.95053710091375
3,MutualInformation,RandomForest,20,0.9270563496428461,65.7368977872374,98.23806578447073
3,MutualInformation,HistGB_Poisson,20,0.868287415728814,62.47475573910194,113.68422243445652
3,MutualInformation,GLM_NegativeBinomial,20,0.6525105864976535,73.0921112954073,135.0089338781652
3,L1_Lasso,RandomForest,20,0.9443495174816025,51.74015745207788,78.86907133773242
3,L1_Lasso,HistGB_Poisson,20,0.9268022815909989,59.72013978488384,103.16287963599655
3,L1_Lasso,GLM_NegativeBinomial,20,0.7233342885868168,55.01552616588783,105.93184223680556
3,RandomForest,RandomForest,20,0.9298898833777729,63.36332668627013,92.66676236207888
3,RandomForest,HistGB_Poisson,20,0.8798518669280945,68.20505926014164,99.60585888513201
3,RandomForest,GLM_NegativeBinomial,20,0.6694398402930064,59.933258646912016,95.05815799855672
4,MutualInformation,RandomForest,20,0.9212625507267402,59.14160752265164,77.16855331344821
4,MutualInformation,HistGB_Poisson,20,0.8778445716414265,63.39353467100823,97.52087198523365
4,MutualInformation,GLM_NegativeBinomial,20,0.5667445278213753,68.744670729327,510.7344922433728
4,L1_Lasso,RandomForest,20,0.9394047514336484,41.11797668076317,61.50502393991893
4,L1_Lasso,HistGB_Poisson,20,0.8962257264942886,37.74826547184152,47.592692206973545
4,L1_Lasso,GLM_NegativeBinomial,20,0.7874324737256304,53.87681379153467,124.48306591644854
4,RandomForest,RandomForest,20,0.9236099695757454,54.381582431733655,73.41998400671646
4,RandomForest,HistGB_Poisson,20,0.8630191291399776,61.66372777571871,120.73019433376727
4,RandomForest,GLM_NegativeBinomial,20,0.6438088676233343,72.8827815071638,458.5025348704218
5,MutualInformation,RandomForest,20,0.9207705267709634,43.08344494357481,68.90006763027161
5,MutualInformation,HistGB_Poisson,20,0.860816609809783,46.85993067375958,75.41380720917445
5,MutualInformation,GLM_NegativeBinomial,20,0.5890846287410128,53.1435259982651,147.87397643743395
5,L1_Lasso,RandomForest,20,0.9520516058635552,41.48183392304703,76.05741008154301
5,L1_Lasso,HistGB_Poisson,20,0.9300335276088597,43.429511712263604,111.75242122461485
5,L1_Lasso,GLM_NegativeBinomial,20,0.7464746619319074,43.80231315925512,223.4088867824315
5,RandomForest,RandomForest,20,0.9289170715589693,39.79552395713518,68.4842786777082
5,RandomForest,HistGB_Poisson,20,0.8907224249079448,41.79644512301679,103.2869246976782
5,RandomForest,GLM_NegativeBinomial,20,0.656192198279581,56.75630054824145,150.9694769443142
