feature_selection,model,pseudo_R2_train_mean,pseudo_R2_train_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,n_features_used_mean
L1_Lasso,RandomForest,0.9487241395833266,0.006616741383099304,50.47578987158559,10.048872017390876,79.83504362657354,14.628897674563426,20.0
L1_Lasso,HistGB_Poisson,0.9261172231412734,0.01782168874619944,51.11656798088436,10.117165023948347,88.49573372171605,25.42325974859728,20.0
L1_Lasso,GLM_NegativeBinomial,0.7703131635740704,0.034992689377000875,55.04321326991203,7.1798176742161015,145.11069236218887,46.59899051195083,20.0
RandomForest,RandomForest,0.9334301142798852,0.00855522942738795,55.53069906819845,12.78275244473036,86.22636098536684,16.927323908016138,20.0
RandomForest,HistGB_Poisson,0.8804849324406717,0.017627732066495747,56.76510415524816,10.899218893126786,105.67978384892135,8.611504593694564,20.0
MutualInformation,RandomForest,0.9294536842672976,0.009251585316091774,58.55891892485008,14.349995663434411,90.33585376268698,18.704290446830182,20.0
MutualInformation,HistGB_Poisson,0.8768768953999,0.017004420470676008,58.92966380720198,7.813494805932871,94.62854829903264,13.647505619938832,20.0
RandomForest,GLM_NegativeBinomial,0.6899554235293038,0.04963372936720968,65.74692374375948,7.633654313650083,538.2609184733483,733.6494846240817,20.0
MutualInformation,GLM_NegativeBinomial,0.6361386490738921,0.05630726871225737,68.45508666525078,9.523627107641184,207.66503742723143,169.76102142743318,20.0
