fold,feature_selection_method,feature_name
2,All_features,num__hh_qm
2,All_features,num__zch_qm
2,All_features,num__med_inc_qm
2,All_features,num__pop_dens_qm
2,All_features,num__walk_comm_qm
2,All_features,num__job_dens_qm
2,All_features,num__Commercial Area_qm
2,All_features,num__Retail Area_qm
2,All_features,num__Park Area_qm
2,All_features,num__transit_stops_qm
2,All_features,num__stv_mi_hm
2,All_features,num__swlk_len_hm
2,All_features,num__bus_stops_hm
2,All_features,num__sig_int_hm
2,All_features,num__sig_dens_hm
2,All_features,num__isect_dens_hm
2,All_features,num__hh_hm
2,All_features,num__zch_hm
2,All_features,num__med_inc_hm
2,All_features,num__pop_dens_hm
2,All_features,num__walk_comm_hm
2,All_features,num__job_dens_hm
2,All_features,num__Commercial Area_hm
2,All_features,num__Retail Area_hm
2,All_features,num__Park Area_hm
2,All_features,num__transit_stops_hm
2,All_features,cat__season_spring
2,All_features,cat__season_summer
2,All_features,cat__season_winter
2,All_features,cat__class_type_mot-sec
2,All_features,cat__class_type_pri-pri
2,All_features,cat__class_type_pri-res
2,All_features,cat__class_type_pri-sec
2,All_features,cat__class_type_pri-ter
2,All_features,cat__class_type_res-res
2,All_features,cat__class_type_res-sec
2,All_features,cat__class_type_res-ter
2,All_features,cat__class_type_sec-sec
2,All_features,cat__class_type_sec-ter
2,All_features,cat__class_type_tru-tru
2,All_features,cat__speed_type_20 mph-25 mph
2,All_features,cat__speed_type_20 mph-30 mph
2,All_features,cat__speed_type_25 mph-30 mph
2,All_features,cat__speed_type_25 mph-55 mph
2,All_features,cat__speed_type_30 mph-30 mph
2,All_features,cat__speed_type_30 mph-35 mph
2,All_features,cat__speed_type_35 mph-35 mph
2,All_features,cat__crossing_class_signalized
2,All_features,cat__crossing_class_unmarked
2,MutualInformation,num__sig_dens_hm
2,MutualInformation,num__sig_int_hm
2,MutualInformation,num__walk_comm_hm
2,MutualInformation,num__stv_mi_hm
2,MutualInformation,num__isect_dens_em
2,MutualInformation,num__transit_stops_em
2,MutualInformation,num__stv_mi
2,MutualInformation,num__stv_ann
2,MutualInformation,num__dist_CBD
2,MutualInformation,num__stv_mi_em
2,MutualInformation,num__sig_int_qm
2,MutualInformation,num__Park Area_hm
2,MutualInformation,num__sig_dens_qm
2,MutualInformation,num__stv_mi_qm
2,MutualInformation,num__zch_em
2,MutualInformation,num__job_dens
2,MutualInformation,num__job_dens_hm
2,MutualInformation,num__bus_stops_hm
2,MutualInformation,num__job_dens_em
2,MutualInformation,num__med_inc_em
2,L1_Lasso,num__stv_mi
2,L1_Lasso,num__job_dens
2,L1_Lasso,num__Park Area
2,L1_Lasso,num__swlk_len
2,L1_Lasso,num__sig_int
2,L1_Lasso,num__Commercial Area_em
2,L1_Lasso,num__Retail Area_em
2,L1_Lasso,num__hh_qm
2,L1_Lasso,num__job_dens_hm
2,L1_Lasso,num__Park Area_hm
2,L1_Lasso,cat__season_spring
2,L1_Lasso,cat__class_type_mot-sec
2,L1_Lasso,cat__class_type_pri-pri
2,L1_Lasso,cat__class_type_pri-res
2,L1_Lasso,cat__class_type_sec-sec
2,L1_Lasso,cat__speed_type_20 mph-25 mph
2,L1_Lasso,cat__speed_type_25 mph-55 mph
2,L1_Lasso,cat__speed_type_35 mph-35 mph
2,L1_Lasso,cat__crossing_class_unmarked
2,RandomForest,num__isect_dens_hm
2,RandomForest,num__transit_stops_hm
2,RandomForest,num__stv_mi_hm
2,RandomForest,num__stv_mi_qm
2,RandomForest,num__job_dens_em
2,RandomForest,num__stv_mi_em
2,RandomForest,num__job_dens_qm
2,RandomForest,num__sig_dens_hm
2,RandomForest,num__job_dens
2,RandomForest,num__job_dens_hm
2,RandomForest,num__sig_int_qm
2,RandomForest,num__sig_dens_qm
2,RandomForest,num__zch_hm
2,RandomForest,num__sig_int_hm
2,RandomForest,num__dist_CBD
2,RandomForest,num__sig_int
2,RandomForest,num__med_inc_qm
2,RandomForest,num__sig_dens
2,RandomForest,num__walk_comm_hm
2,RandomForest,num__zch_qm
3,All_features,num__Number of
3,All_features,num__stv_mi
3,All_features,num__stv_ann
3,All_features,num__swlk_cov
3,All_features,num__crossing_island
3,All_features,num__bus_stops
3,All_features,num__isect_dens
3,All_features,num__hh
3,All_features,num__zch
3,All_features,num__pop_dens
3,All_features,num__med_inc
3,All_features,num__job_dens
3,All_features,num__dist_CBD
3,All_features,num__Commercial Area
3,All_features,num__Retail Area
3,All_features,num__Park Area
3,All_features,num__swlk_len
3,All_features,num__sig_int
3,All_features,num__sig_dens
3,All_features,num__tstop_dens
3,All_features,num__walk_comm
3,All_features,num__stv_mi_em
3,All_features,num__swlk_len_em
3,All_features,num__bus_stops_em
3,All_features,num__sig_int_em
3,All_features,num__sig_dens_em
3,All_features,num__isect_dens_em
3,All_features,num__hh_em
3,All_features,num__zch_em
3,All_features,num__med_inc_em
3,All_features,num__pop_dens_em
3,All_features,num__walk_comm_em
3,All_features,num__job_dens_em
3,All_features,num__Commercial Area_em
3,All_features,num__Retail Area_em
3,All_features,num__Park Area_em
3,All_features,num__transit_stops_em
3,All_features,num__stv_mi_qm
3,All_features,num__swlk_len_qm
3,All_features,num__bus_stops_qm
3,All_features,num__sig_int_qm
3,All_features,num__sig_dens_qm
3,All_features,num__isect_dens_qm
3,All_features,num__hh_qm
3,All_features,num__zch_qm
3,All_features,num__med_inc_qm
3,All_features,num__pop_dens_qm
3,All_features,num__walk_comm_qm
3,All_features,num__job_dens_qm
3,All_features,num__Commercial Area_qm
3,All_features,num__Retail Area_qm
3,All_features,num__Park Area_qm
3,All_features,num__transit_stops_qm
3,All_features,num__stv_mi_hm
3,All_features,num__swlk_len_hm
3,All_features,num__bus_stops_hm
3,All_features,num__sig_int_hm
3,All_features,num__sig_dens_hm
3,All_features,num__isect_dens_hm
3,All_features,num__hh_hm
3,All_features,num__zch_hm
3,All_features,num__med_inc_hm
3,All_features,num__pop_dens_hm
3,All_features,num__walk_comm_hm
3,All_features,num__job_dens_hm
3,All_features,num__Commercial Area_hm
3,All_features,num__Retail Area_hm
3,All_features,num__Park Area_hm
3,All_features,num__transit_stops_hm
3,All_features,cat__season_spring
3,All_features,cat__season_summer
3,All_features,cat__season_winter
3,All_features,cat__class_type_mot-sec
3,All_features,cat__class_type_pri-pri
3,All_features,cat__class_type_pri-res
3,All_features,cat__class_type_pri-sec
3,All_features,cat__class_type_pri-ter
3,All_features,cat__class_type_res-sec
3,All_features,cat__class_type_res-ter
3,All_features,cat__class_type_sec-sec
3,All_features,cat__class_type_sec-ter
3,All_features,cat__class_type_tru-tru
3,All_features,cat__speed_type_20 mph-25 mph
3,All_features,cat__speed_type_20 mph-30 mph
3,All_features,cat__speed_type_25 mph-30 mph
3,All_features,cat__speed_type_25 mph-55 mph
3,All_features,cat__speed_type_30 mph-30 mph
3,All_features,cat__speed_type_30 mph-35 mph
3,All_features,cat__speed_type_35 mph-35 mph
3,All_features,cat__crossing_class_signalized
3,All_features,cat__crossing_class_unmarked
3,MutualInformation,num__sig_int_hm
3,MutualInformation,num__sig_dens_hm
3,MutualInformation,num__isect_dens_em
3,MutualInformation,num__job_dens_qm
3,MutualInformation,num__job_dens
3,MutualInformation,num__transit_stops_em
3,MutualInformation,num__job_dens_hm
3,MutualInformation,num__job_dens_em
3,MutualInformation,num__sig_int_qm
3,MutualInformation,num__sig_dens_qm
3,MutualInformation,num__dist_CBD
3,MutualInformation,num__transit_stops_hm
3,MutualInformation,num__swlk_len_hm
3,MutualInformation,num__isect_dens_hm
3,MutualInformation,num__hh_hm
3,MutualInformation,num__walk_comm_hm
3,MutualInformation,num__stv_mi_hm
3,MutualInformation,num__bus_stops_hm
3,MutualInformation,num__isect_dens_qm
3,MutualInformation,num__zch_qm
3,L1_Lasso,num__Number of
3,L1_Lasso,num__stv_mi
3,L1_Lasso,num__Retail Area
3,L1_Lasso,num__sig_int
3,L1_Lasso,num__sig_int_em
3,L1_Lasso,num__Commercial Area_em
3,L1_Lasso,num__Retail Area_em
3,L1_Lasso,num__transit_stops_qm
3,L1_Lasso,num__stv_mi_hm
3,L1_Lasso,num__isect_dens_hm
3,L1_Lasso,num__job_dens_hm
3,L1_Lasso,cat__class_type_mot-sec
3,L1_Lasso,cat__class_type_pri-pri
3,L1_Lasso,cat__class_type_pri-res
3,L1_Lasso,cat__class_type_sec-sec
3,L1_Lasso,cat__speed_type_20 mph-30 mph
3,L1_Lasso,cat__speed_type_25 mph-55 mph
3,RandomForest,num__job_dens_em
3,RandomForest,num__stv_mi_hm
3,RandomForest,num__sig_int_hm
3,RandomForest,num__job_dens_hm
3,RandomForest,num__zch_hm
3,RandomForest,num__job_dens
3,RandomForest,num__job_dens_qm
3,RandomForest,num__sig_int_qm
3,RandomForest,num__zch_qm
3,RandomForest,num__sig_dens_qm
3,RandomForest,num__sig_dens_hm
3,RandomForest,num__stv_mi
3,RandomForest,num__stv_ann
3,RandomForest,num__isect_dens_em
3,RandomForest,num__walk_comm_hm
3,RandomForest,num__isect_dens_hm
3,RandomForest,num__sig_int_em
3,RandomForest,num__sig_dens
3,RandomForest,num__transit_stops_hm
3,RandomForest,num__Retail Area_em
4,All_features,num__Number of
4,All_features,num__stv_mi
4,All_features,num__stv_ann
4,All_features,num__swlk_cov
4,All_features,num__crossing_island
4,All_features,num__bus_stops
4,All_features,num__isect_dens
4,All_features,num__hh
4,All_features,num__zch
4,All_features,num__pop_dens
4,All_features,num__med_inc
4,All_features,num__job_dens
4,All_features,num__dist_CBD
4,All_features,num__Commercial Area
4,All_features,num__Retail Area
4,All_features,num__Park Area
4,All_features,num__swlk_len
4,All_features,num__sig_int
4,All_features,num__sig_dens
4,All_features,num__tstop_dens
4,All_features,num__walk_comm
4,All_features,num__stv_mi_em
4,All_features,num__swlk_len_em
4,All_features,num__bus_stops_em
4,All_features,num__sig_int_em
4,All_features,num__sig_dens_em
4,All_features,num__isect_dens_em
4,All_features,num__hh_em
4,All_features,num__zch_em
4,All_features,num__med_inc_em
4,All_features,num__pop_dens_em
4,All_features,num__walk_comm_em
4,All_features,num__job_dens_em
4,All_features,num__Commercial Area_em
4,All_features,num__Retail Area_em
4,All_features,num__Park Area_em
4,All_features,num__transit_stops_em
4,All_features,num__stv_mi_qm
4,All_features,num__swlk_len_qm
4,All_features,num__bus_stops_qm
4,All_features,num__sig_int_qm
4,All_features,num__sig_dens_qm
4,All_features,num__isect_dens_qm
4,All_features,num__hh_qm
4,All_features,num__zch_qm
4,All_features,num__med_inc_qm
4,All_features,num__pop_dens_qm
4,All_features,num__walk_comm_qm
4,All_features,num__job_dens_qm
4,All_features,num__Commercial Area_qm
4,All_features,num__Retail Area_qm
4,All_features,num__Park Area_qm
4,All_features,num__transit_stops_qm
4,All_features,num__stv_mi_hm
4,All_features,num__swlk_len_hm
4,All_features,num__bus_stops_hm
4,All_features,num__sig_int_hm
4,All_features,num__sig_dens_hm
4,All_features,num__isect_dens_hm
4,All_features,num__hh_hm
4,All_features,num__zch_hm
4,All_features,num__med_inc_hm
4,All_features,num__pop_dens_hm
4,All_features,num__walk_comm_hm
4,All_features,num__job_dens_hm
4,All_features,num__Commercial Area_hm
4,All_features,num__Retail Area_hm
4,All_features,num__Park Area_hm
4,All_features,num__transit_stops_hm
4,All_features,cat__season_spring
4,All_features,cat__season_summer
4,All_features,cat__season_winter
4,All_features,cat__class_type_mot-sec
4,All_features,cat__class_type_pri-pri
4,All_features,cat__class_type_pri-res
4,All_features,cat__class_type_pri-sec
4,All_features,cat__class_type_pri-ter
4,All_features,cat__class_type_res-res
4,All_features,cat__class_type_res-sec
4,All_features,cat__class_type_res-ter
4,All_features,cat__class_type_sec-sec
4,All_features,cat__class_type_sec-ter
4,All_features,cat__speed_type_20 mph-25 mph
4,All_features,cat__speed_type_20 mph-30 mph
4,All_features,cat__speed_type_25 mph-30 mph
4,All_features,cat__speed_type_25 mph-55 mph
4,All_features,cat__speed_type_30 mph-30 mph
4,All_features,cat__speed_type_35 mph-35 mph
4,All_features,cat__crossing_class_signalized
4,All_features,cat__crossing_class_unmarked
4,MutualInformation,num__hh_hm
4,MutualInformation,num__isect_dens_em
4,MutualInformation,num__transit_stops_qm
4,MutualInformation,num__sig_dens_hm
4,MutualInformation,num__transit_stops_em
4,MutualInformation,num__dist_CBD
4,MutualInformation,num__walk_comm_hm
4,MutualInformation,num__transit_stops_hm
4,MutualInformation,num__sig_int_hm
4,MutualInformation,num__sig_dens_qm
4,MutualInformation,num__sig_int_qm
4,MutualInformation,num__zch_qm
4,MutualInformation,num__bus_stops_qm
4,MutualInformation,num__job_dens_hm
4,MutualInformation,num__stv_mi_hm
4,MutualInformation,num__walk_comm_qm
4,MutualInformation,num__job_dens_em
4,MutualInformation,num__bus_stops_em
4,MutualInformation,cat__speed_type_20 mph-30 mph
4,MutualInformation,cat__crossing_class_unmarked
4,L1_Lasso,num__Number of
4,L1_Lasso,num__stv_mi
4,L1_Lasso,num__sig_int_em
4,L1_Lasso,num__Commercial Area_em
4,L1_Lasso,num__Retail Area_em
4,L1_Lasso,num__transit_stops_em
4,L1_Lasso,num__job_dens_hm
4,L1_Lasso,num__transit_stops_hm
4,L1_Lasso,cat__class_type_mot-sec
4,L1_Lasso,cat__class_type_pri-ter
4,L1_Lasso,cat__class_type_sec-sec
4,L1_Lasso,cat__speed_type_20 mph-30 mph
4,L1_Lasso,cat__speed_type_25 mph-55 mph
4,RandomForest,num__stv_mi_hm
4,RandomForest,num__zch_hm
4,RandomForest,num__job_dens_hm
4,RandomForest,num__job_dens_em
4,RandomForest,num__sig_int_hm
4,RandomForest,num__sig_dens_hm
4,RandomForest,num__job_dens_qm
4,RandomForest,num__sig_dens_qm
4,RandomForest,num__sig_int_qm
4,RandomForest,num__stv_mi_qm
4,RandomForest,num__sig_dens_em
4,RandomForest,num__stv_mi
4,RandomForest,num__job_dens
4,RandomForest,num__sig_int
4,RandomForest,num__stv_ann
4,RandomForest,num__transit_stops_hm
4,RandomForest,num__zch_qm
4,RandomForest,num__sig_dens
4,RandomForest,num__sig_int_em
4,RandomForest,num__walk_comm_hm
5,All_features,num__Number of
5,All_features,num__stv_mi
5,All_features,num__stv_ann
5,All_features,num__swlk_cov
5,All_features,num__crossing_island
5,All_features,num__bus_stops
5,All_features,num__isect_dens
5,All_features,num__hh
5,All_features,num__zch
5,All_features,num__pop_dens
5,All_features,num__med_inc
5,All_features,num__job_dens
5,All_features,num__dist_CBD
5,All_features,num__Commercial Area
5,All_features,num__Retail Area
5,All_features,num__Park Area
5,All_features,num__swlk_len
5,All_features,num__sig_int
5,All_features,num__sig_dens
5,All_features,num__tstop_dens
5,All_features,num__walk_comm
5,All_features,num__stv_mi_em
5,All_features,num__swlk_len_em
5,All_features,num__bus_stops_em
5,All_features,num__sig_int_em
5,All_features,num__sig_dens_em
5,All_features,num__isect_dens_em
5,All_features,num__hh_em
5,All_features,num__zch_em
5,All_features,num__med_inc_em
5,All_features,num__pop_dens_em
5,All_features,num__walk_comm_em
5,All_features,num__job_dens_em
5,All_features,num__Commercial Area_em
5,All_features,num__Retail Area_em
5,All_features,num__Park Area_em
5,All_features,num__transit_stops_em
5,All_features,num__stv_mi_qm
5,All_features,num__swlk_len_qm
5,All_features,num__bus_stops_qm
5,All_features,num__sig_int_qm
5,All_features,num__sig_dens_qm
5,All_features,num__isect_dens_qm
5,All_features,num__hh_qm
5,All_features,num__zch_qm
5,All_features,num__med_inc_qm
5,All_features,num__pop_dens_qm
