model,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,SMAPE_mean,SMAPE_std,Corr_R2_mean,Corr_R2_std,McFadden_R2_mean,McFadden_R2_std
GLM_NegBinomial (statsmodels) | R-code nb3a features,93.2202838276778,28.91471904602785,69.41459797432974,29.24131299534807,50.563122016129306,8.434542305106074,0.7038344714033763,0.21157648012945668,0.8124272964587985,0.014300093754512463
HistGB_Poisson (Default) | R-code nb3a features,97.5229425626229,41.09227961158594,64.71263202533912,23.074681926043958,50.32730559712674,11.922918859351674,0.649102887530113,0.2378059435324679,0.9000646089763167,0.008412749522051111
HistGB_Poisson (Default) | L1 Lasso 18 features,84.8206140759752,34.89812556252286,62.41136849765848,22.682665817092026,50.50851135072599,10.680836512210917,0.6954756689125535,0.23903785558806204,0.978202108104356,0.0033471423523742288
HistGB_Poisson (TUNED) | L1 Lasso 20 features  *,81.04941240983845,36.82153444594893,58.30864937390278,17.418499145627894,50.22970257882012,12.987041993337472,0.6437288286066387,0.28832699353202357,0.9645039807187674,0.002799032481559651
