fold,model,pseudo_R2_train,SMAPE_val,RMSE_val
1,RandomForest,0.9549677681193842,57.22425415931778,92.97082983387854
1,HistGB_Poisson,0.9740739198401825,49.77634629935185,71.78831746678878
1,GLM_NegativeBinomial,0.99999999995582,123.84105846706306,102968.57242537098
2,RandomForest,0.9446487227824331,73.5631030162506,112.66666224132142
2,HistGB_Poisson,0.96641658801942,60.1022254416026,109.26511850291124
2,GLM_NegativeBinomial,0.9999999999643608,156.33941747775492,2.35470948439727e+27
3,RandomForest,0.9372170813663832,58.82872095784879,92.0485907007815
3,HistGB_Poisson,0.9665606642028505,62.2078947796869,91.87363059742755
3,GLM_NegativeBinomial,0.9999999999474722,139.3747065217345,43789.89272312904
4,RandomForest,0.9284756963646876,50.60922145247654,69.81697182777266
4,HistGB_Poisson,0.9600667963972996,48.254166337195194,66.45816190169151
4,GLM_NegativeBinomial,0.9999999999669862,154.0091688386092,70315.94696037911
5,RandomForest,0.9416709195653358,41.485620227045345,66.99078967440227
5,HistGB_Poisson,0.9615234975716325,41.01099008731584,81.17171113827675
5,GLM_NegativeBinomial,0.9999999999679664,134.57686384747362,4228.956087771321
