method,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PoissonDev_mean,PoissonDev_std,n_folds
RF_Importance_Select+RF,59.356845090049134,18.473065449341803,87.4812671434844,27.82995729077706,0.543847353087495,0.2658257968100306,52.20817149585956,25.080349791057486,25
Lasso_SelectFromModel+RF,59.706377742963916,17.98295080622149,87.51086173824861,27.52832269670604,0.5491407903673907,0.24870586355698507,52.44922566784592,24.81529143421086,25
Univariate_MI+RF,62.13555117452227,17.229306979496467,91.19773930137357,28.077872357933835,0.5194264351813306,0.24290303330238033,57.89293036274641,25.31990825664325,25
