feature,perm_importance_mean,perm_importance_std
num__zch_em,30.844314011725693,8.765630234052148
num__transit_stops_em,25.289231983112053,12.522946442849431
num__stv_mi,19.197902199515067,10.27863609572124
num__stv_mi_hm,12.609561117184699,5.095034475696219
num__isect_dens_em,9.976695367007428,5.906993846465213
num__job_dens_qm,4.027313720776029,7.233065811761344
num__isect_dens_hm,3.4141525390519143,2.5355765775003394
num__zch_qm,2.6389699260477384,2.0091004088027655
num__walk_comm_hm,0.5782461185117214,4.661914982175293
num__sig_int_hm,0.17911982272089375,0.7107491500795204
num__job_dens,0.1723095299604182,0.283387627809912
num__dist_CBD,0.0870880477397236,0.11393425099389552
num__sig_dens_hm,0.0,0.0
num__transit_stops_hm,0.0,0.0
num__sig_int_qm,0.0,0.0
num__job_dens_em,-0.00521744393943635,1.2073001965505539
num__bus_stops_hm,-0.03085297552204338,0.37366594645475143
num__job_dens_hm,-0.26219438808086937,0.6358607171715337
num__sig_dens_qm,-0.7425272060453956,0.8343217506043357
num__hh_hm,-2.178002552681793,5.164825509653662
