model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,feature_selection,n_features,cv_strategy
RandomForest,0.9479554446524338,0.006340073003045036,0.6854342032321006,0.2483690135801696,79.67961723919242,36.33053543208469,53.06099933480241,11.83072312647586,84.19076617960627,39.212366939497976,L1_Lasso,10,10-Fold
HistGB_Poisson,0.9522686573938828,0.0061368182401577214,0.6193688379855085,0.24141997516085995,76.28914904347054,37.36152041533385,56.728989163529015,12.622873213568967,88.20849193156441,34.641695045424235,L1_Lasso,10,10-Fold
RandomForest,0.9296295621893295,0.005319816485877618,0.676551248456984,0.2183952892573046,107.99659135756993,66.81438467727627,60.301382610877,12.846227202941837,87.50846274534914,33.08875751459983,Mutual_Information,10,10-Fold
HistGB_Poisson,0.9052989379734735,0.012827688381891045,0.6450758815958091,0.28454215786700776,81.03821167129055,28.24039537867217,59.84310445655117,11.120967386020348,96.12623506143673,34.513813523033676,Mutual_Information,10,10-Fold
RandomForest,0.9240861028909727,0.005030978290564475,0.6881375121367405,0.2121549513451728,112.08953672876586,69.09447970406498,60.106417121438234,15.171093093449832,84.44515447551672,36.291350194586585,Random_Forest,10,10-Fold
HistGB_Poisson,0.8528033644181028,0.013355875717828517,0.5937533215892428,0.2568017560620383,98.40445541257404,44.31581323954561,68.30185277625955,16.259278626128,100.01333948462386,32.62388058985737,Random_Forest,10,10-Fold
RandomForest,0.9264290495688373,0.005619206585270595,0.6856925959961699,0.2148727337949678,111.37402483934541,72.85805887596699,60.04623670984025,13.546781761989312,85.09087447933479,36.95958227872236,F_Regression,10,10-Fold
HistGB_Poisson,0.8271410930853873,0.011308396593742578,0.5639134153515484,0.2586198617507949,111.78126111989317,73.3571477198937,64.42584166807212,12.823863145072302,105.11701382602988,34.584343818982425,F_Regression,10,10-Fold
RandomForest,0.9439345669664657,0.006704843706208828,0.6976778572710525,0.25028932402790427,87.1824506443736,40.04949611728837,53.50937565915751,14.002583378739025,81.85606903691342,34.61073810285425,L1_Lasso,15,10-Fold
HistGB_Poisson,0.9763214626706398,0.002648645596201734,0.6325297785393429,0.2682109113618833,69.27550676079977,27.151659521010004,53.445296469709305,11.992274678376168,87.22473588601189,34.01678209730229,L1_Lasso,15,10-Fold
