model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,best_params,feature_selection,n_features,cv_strategy
GradientBoosting_Huber,0.941700234558784,0.008046703382248156,0.6763600036470371,0.2541562088074245,66.8025979002092,22.946589467722497,54.449324555162185,14.209300171936732,79.79591293650141,34.13471924421901,"{'subsample': 1.0, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 5, 'learning_rate': 0.01, 'alpha': 0.8}",L1_Lasso,10,RepeatedKFold_5x10
PoissonRegressor,0.707015893266072,0.021022487400301413,0.6349168373794367,0.21821503700784792,77.88444819641433,24.230647515356136,55.27117979776172,12.758036124481672,100.15699657986357,53.893961912293896,{'alpha': 10.0},L1_Lasso,10,RepeatedKFold_5x10
Bagging_HistGB,0.8627063956060058,0.014785811021500641,0.5860593924911829,0.2539540581172553,75.84478355139233,31.083357509301116,54.72939488639976,14.378408068558985,89.73197543042133,35.54241513634815,"{'max_features': 1.0, 'max_samples': 0.7, 'n_estimators': 15}",L1_Lasso,10,RepeatedKFold_5x10
RandomForest,0.953995600992993,0.0033447313188240523,0.7173539169394819,0.2195230527729585,76.06060174545522,26.641096728472785,52.75910079314735,12.781356750601711,75.96320774476702,32.822533339383966,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",L1_Lasso,10,RepeatedKFold_3x10
HistGB_Poisson,0.9950057026124873,0.0006837141956902626,0.6669267101832158,0.24129930245298678,60.83959271731127,21.361807126550048,52.986514211314535,13.697649841327944,81.94530493803867,33.89340985114439,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 0.0}",L1_Lasso,10,RepeatedKFold_3x10
HistGB_SquaredError,0.8770333391272371,0.0456306928364959,0.6775850976357841,0.26255574094927064,73.52246177656642,25.77796839365546,58.60166004356645,15.171316947688867,82.89917585017959,36.76733423778221,"{'min_samples_leaf': 10, 'max_iter': 500, 'max_depth': 5, 'learning_rate': 0.01, 'l2_regularization': 1.0}",L1_Lasso,10,RepeatedKFold_3x10
ExtraTrees,0.9358420516053173,0.005917057257845072,0.7277301010717578,0.21049303110362563,71.8291199952683,32.016958421092916,49.41541226099627,12.478212580663005,76.24087106054402,35.08276255198144,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 25}",L1_Lasso,10,RepeatedKFold_3x10
GradientBoosting_Huber,0.8190265418637133,0.020397621660323096,0.7168925990976593,0.24426086698863908,67.73787842465224,24.415322765250462,54.09694595896338,13.139896922405446,79.66654039772797,38.342174450510264,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_depth': 3, 'learning_rate': 0.01, 'alpha': 0.8}",L1_Lasso,10,RepeatedKFold_3x10
PoissonRegressor,0.7069127546819425,0.02158907220312423,0.6591632791599803,0.2085901538941699,77.95035253641969,23.742863098073446,55.143855794655416,12.175250745833788,101.51109487396937,57.452577983480204,{'alpha': 10.0},L1_Lasso,10,RepeatedKFold_3x10
Bagging_HistGB,0.861091560962817,0.015709433845137805,0.5958061495278277,0.2500856897601446,76.10549872598236,29.69126492697409,54.393104870372404,14.150243084485755,88.75628577974334,34.45233084304537,"{'max_features': 1.0, 'max_samples': 0.7, 'n_estimators': 15}",L1_Lasso,10,RepeatedKFold_3x10
