model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,n_features,feature_selection,cv_strategy,target_transform
RandomForest,,,,,55.133146963612965,18.055923656478583,51.3709796247292,12.008213851070476,81.81233830307568,38.2202547977067,20,L1_Lasso,10-Fold,log1p
HistGB_Poisson,,,,,59.41251892215938,17.630007497299268,55.28570988340211,14.291712544097575,106.76318673907197,41.95709821979283,20,L1_Lasso,10-Fold,log1p
HistGB_SquaredError,,,,,59.525223751756,15.01115973289446,53.953682315995266,12.276306949681326,94.38537813042552,36.445973954685144,20,L1_Lasso,10-Fold,log1p
ExtraTrees,,,,,64.81605594017984,31.91645575005197,50.583838544955704,11.785311502895457,77.23552256982035,30.836466986650112,20,L1_Lasso,10-Fold,log1p
