model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,n_features,feature_selection,cv_strategy
Stack_RF+HistGB+ExtraTrees,0.9570931020759526,0.03393685412416084,0.7370624418131972,0.23073254872686538,61.70398240239833,22.011669497158202,48.97085789020743,11.728151650896281,76.1291330877099,32.87748259564327,20,L1_Lasso,10-Fold
Stack_RF+HistGB_Poisson+HistGB_SE,0.9571190323830537,0.023193565906451965,0.7226446206400344,0.2538575369450315,68.07261490342768,30.220682125185693,49.43002077112642,12.543042895110617,79.67404824801886,35.55903260007298,20,L1_Lasso,10-Fold
