model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,cv_strategy,experiment,feature_selection,n_features,best_params,target_transform
RandomForest,0.9431469401738916,0.006326652366802718,0.6409295169193403,0.24567896840471729,82.71653497519922,33.74584769936043,52.689370828921916,9.990787185781878,83.56015767403292,14.524594215611769,5-Fold,CV_Strategy,,,,
HistGB_Poisson,0.97326586915522,0.0045805861081388765,0.6193939073369328,0.23483904216805102,55.516314195704396,11.810013641326899,47.80648604238603,9.137667051238008,85.09019334915692,16.694374264707196,5-Fold,CV_Strategy,,,,
RandomForest,0.9458247516196433,0.005770767509217289,0.7088385016880265,0.2521220677860452,86.55491191261169,43.90727717480341,52.674373684139525,13.392587071373388,78.87361330814134,33.68590349867786,10-Fold,CV_Strategy,,,,
HistGB_Poisson,0.9797478719206971,0.002965441294103005,0.6543715948877739,0.2581782954013998,60.14978220569433,17.68055492027277,50.01856966886232,10.010021244535968,81.60790783070861,32.891329079824295,10-Fold,CV_Strategy,,,,
RandomForest,0.9454337318895163,0.005169901625829828,0.672856635509714,0.23711625668474884,87.72294228586557,40.698037385587654,53.48323542462535,14.160247397643083,81.2704177171522,34.539085533017754,RepeatedKFold_5x10,CV_Strategy,,,,
HistGB_Poisson,0.9800538928440926,0.003041715602984143,0.6172490504096033,0.24689682003871544,64.27192896749285,25.629246191248942,52.657630739468324,14.380660138869713,85.46215978776874,37.267297491158274,RepeatedKFold_5x10,CV_Strategy,,,,
RandomForest,0.9454221562727896,0.0052206505952548735,0.6883712867401423,0.2318869599322536,89.28572582577841,44.505956992526755,53.29908935475947,14.004647118970937,79.3318748748721,35.73310996664537,RepeatedKFold_3x10,CV_Strategy,,,,
HistGB_Poisson,0.9800241939662798,0.0031910401529046638,0.6294540482612716,0.24133125654896148,63.32690617162622,21.87334205018602,52.144355107057066,14.715437549751096,83.10662968655723,36.60172605209391,RepeatedKFold_3x10,CV_Strategy,,,,
RandomForest,0.9479554446524338,0.006340073003045036,0.6854342032321006,0.2483690135801696,79.67961723919242,36.33053543208469,53.06099933480241,11.83072312647586,84.19076617960627,39.212366939497976,10-Fold,Feature_Sweep,L1_Lasso,10.0,,
HistGB_Poisson,0.9522686573938828,0.0061368182401577214,0.6193688379855085,0.24141997516085995,76.28914904347054,37.36152041533385,56.728989163529015,12.622873213568967,88.20849193156441,34.641695045424235,10-Fold,Feature_Sweep,L1_Lasso,10.0,,
RandomForest,0.9296295621893295,0.005319816485877618,0.676551248456984,0.2183952892573046,107.99659135756993,66.81438467727627,60.301382610877,12.846227202941837,87.50846274534914,33.08875751459983,10-Fold,Feature_Sweep,Mutual_Information,10.0,,
HistGB_Poisson,0.9052989379734735,0.012827688381891045,0.6450758815958091,0.28454215786700776,81.03821167129055,28.24039537867217,59.84310445655117,11.120967386020348,96.12623506143673,34.513813523033676,10-Fold,Feature_Sweep,Mutual_Information,10.0,,
RandomForest,0.9240861028909727,0.005030978290564475,0.6881375121367405,0.2121549513451728,112.08953672876586,69.09447970406498,60.106417121438234,15.171093093449832,84.44515447551672,36.291350194586585,10-Fold,Feature_Sweep,Random_Forest,10.0,,
HistGB_Poisson,0.8528033644181028,0.013355875717828517,0.5937533215892428,0.2568017560620383,98.40445541257404,44.31581323954561,68.30185277625955,16.259278626128,100.01333948462386,32.62388058985737,10-Fold,Feature_Sweep,Random_Forest,10.0,,
RandomForest,0.9264290495688373,0.005619206585270595,0.6856925959961699,0.2148727337949678,111.37402483934541,72.85805887596699,60.04623670984025,13.546781761989312,85.09087447933479,36.95958227872236,10-Fold,Feature_Sweep,F_Regression,10.0,,
HistGB_Poisson,0.8271410930853873,0.011308396593742578,0.5639134153515484,0.2586198617507949,111.78126111989317,73.3571477198937,64.42584166807212,12.823863145072302,105.11701382602988,34.584343818982425,10-Fold,Feature_Sweep,F_Regression,10.0,,
RandomForest,0.9439345669664657,0.006704843706208828,0.6976778572710525,0.25028932402790427,87.1824506443736,40.04949611728837,53.50937565915751,14.002583378739025,81.85606903691342,34.61073810285425,10-Fold,Feature_Sweep,L1_Lasso,15.0,,
HistGB_Poisson,0.9763214626706398,0.002648645596201734,0.6325297785393429,0.2682109113618833,69.27550676079977,27.151659521010004,53.445296469709305,11.992274678376168,87.22473588601189,34.01678209730229,10-Fold,Feature_Sweep,L1_Lasso,15.0,,
RandomForest,0.9309500056937795,0.005559971155450141,0.6838356994944228,0.23493725255136252,109.63343971644179,79.24591542019945,58.08717621416063,14.473584795068318,86.54917465561499,33.4976066010939,10-Fold,Feature_Sweep,Mutual_Information,15.0,,
HistGB_Poisson,0.9194221412533649,0.01073288832592231,0.6369442321465179,0.24976408569522268,82.47489244006545,31.914007154638526,60.718473713407526,13.296870705575184,97.48170379091574,31.126239402047414,10-Fold,Feature_Sweep,Mutual_Information,15.0,,
RandomForest,0.9347470418113009,0.004576652189351093,0.6907495273050911,0.23461255484729174,96.5351998031193,62.584932457791645,54.66761293701759,13.818418271735428,80.78348888085856,32.110716272263694,10-Fold,Feature_Sweep,Random_Forest,15.0,,
HistGB_Poisson,0.9586163443354134,0.010239277003929004,0.5614268072441779,0.272687876713771,86.72401055616844,44.732036482922176,59.513738455274144,12.05833160342189,95.95422777555568,36.298588184348766,10-Fold,Feature_Sweep,Random_Forest,15.0,,
RandomForest,0.9246899664107285,0.0051740297620873794,0.6610967336634151,0.26143468990513413,110.88242542507558,84.44419977141028,59.081714281384066,13.161658658807477,86.66267795821169,34.57658998175119,10-Fold,Feature_Sweep,F_Regression,15.0,,
HistGB_Poisson,0.9046135449432426,0.012285452431681764,0.6140277787988742,0.22617435150951148,104.71890507495827,79.4188305646063,63.58593364804587,10.742649244721218,104.20645561147819,22.620001556380917,10-Fold,Feature_Sweep,F_Regression,15.0,,
RandomForest,0.9458247516196433,0.005770767509217289,0.7088385016880265,0.2521220677860452,86.55491191261169,43.90727717480341,52.674373684139525,13.392587071373388,78.87361330814134,33.68590349867786,10-Fold,Feature_Sweep,L1_Lasso,20.0,,
HistGB_Poisson,0.9797478719206971,0.002965441294103005,0.6543715948877739,0.2581782954013998,60.14978220569433,17.68055492027277,50.01856966886232,10.010021244535968,81.60790783070861,32.891329079824295,10-Fold,Feature_Sweep,L1_Lasso,20.0,,
RandomForest,0.933488771390661,0.006638811117858457,0.6344943640531481,0.23846981035678183,112.57266822021145,87.627065964204,59.057919534928985,14.557333176868076,87.46145749877056,35.22266608237731,10-Fold,Feature_Sweep,Mutual_Information,20.0,,
HistGB_Poisson,0.966045424629289,0.004144906896843242,0.7308841749239717,0.22625773105523206,74.47214439012973,39.44245036159273,56.69768231294402,12.352434273263544,87.41770926890172,33.43723691642055,10-Fold,Feature_Sweep,Mutual_Information,20.0,,
RandomForest,0.9398255363789019,0.0056007811295791235,0.6677204384852565,0.305977158146204,88.68318907915392,49.931406522637666,56.15190619807667,12.577004798633121,81.54836578140642,32.54460862303444,10-Fold,Feature_Sweep,Random_Forest,20.0,,
HistGB_Poisson,0.9774631414189194,0.0030721036214516346,0.7019576911922334,0.23453621186628862,67.41897951921798,33.11707987922927,53.867120204568224,9.97556540514264,78.47505159502154,39.430442475932786,10-Fold,Feature_Sweep,Random_Forest,20.0,,
RandomForest,0.9253883315874857,0.004628794328609851,0.6988919882351448,0.22377142200839292,107.49561185259623,66.85243706291699,59.84866474735526,12.987083483726693,83.89690499877577,35.710906811956676,10-Fold,Feature_Sweep,F_Regression,20.0,,
HistGB_Poisson,0.9180077511665982,0.0064386701232207084,0.6408261402751231,0.30160460611935486,88.88769524662048,47.42013518714788,63.54078736806355,10.307037541274019,94.15081400987197,23.166011081649174,10-Fold,Feature_Sweep,F_Regression,20.0,,
RandomForest,0.944366463744738,0.005987658696257075,0.6920024085721377,0.2244464749280138,88.40167859736496,46.92708330070048,53.34034222176365,13.139176960734558,81.00699328607017,33.5151346807553,10-Fold,Feature_Sweep,L1_Lasso,25.0,,
HistGB_Poisson,0.9846404248506886,0.002799961981079472,0.6306622286963616,0.233535403953796,62.61752662221185,18.432150576131736,52.313018252336576,11.740554673307022,85.05432108960647,31.767563158057193,10-Fold,Feature_Sweep,L1_Lasso,25.0,,
RandomForest,0.9348579106250015,0.006236431245853977,0.6368814665392084,0.2548686602714841,114.27345012096623,94.97461122760289,58.910040136840124,15.607464088873328,86.42296686940759,36.48586768416991,10-Fold,Feature_Sweep,Mutual_Information,25.0,,
HistGB_Poisson,0.9698151985971905,0.0050189302675608585,0.7059623778428386,0.2595735687460547,72.829825770203,34.698951984429556,57.1347842519959,12.373776579903241,92.3006839558303,34.28284207047385,10-Fold,Feature_Sweep,Mutual_Information,25.0,,
RandomForest,0.9398682819346618,0.005404310354304804,0.6651005905092652,0.3056819330039182,89.10749961890586,47.57064462862999,56.382610623053594,11.715917142505058,81.82304482323136,33.08480779485722,10-Fold,Feature_Sweep,Random_Forest,25.0,,
HistGB_Poisson,0.9793539720575237,0.0031287760693143687,0.6621751478155,0.22540830184859964,69.11795889317935,36.61854852996761,53.724772221813986,10.374918492848682,86.3580296673695,44.86795567692992,10-Fold,Feature_Sweep,Random_Forest,25.0,,
RandomForest,0.9289537214841033,0.004557605156355626,0.6701563864651993,0.23471853558387482,109.53061613340735,65.8812871251065,60.04327607124494,12.770502245867911,84.17081564663359,34.92812113538313,10-Fold,Feature_Sweep,F_Regression,25.0,,
HistGB_Poisson,0.9383137023724938,0.005281409566693849,0.6288238343884699,0.26239479445603525,89.91028083691512,53.633821289148294,63.42297161265401,11.73570889295264,97.84633237094845,32.34069365151007,10-Fold,Feature_Sweep,F_Regression,25.0,,
RandomForest,0.9447177760178194,0.00545768697892076,0.6976585451027517,0.22614778193815943,88.55035150395376,45.39369541206846,53.7430670976942,12.995530263352817,79.8143919754641,30.973361187083913,10-Fold,Feature_Sweep,L1_Lasso,30.0,,
HistGB_Poisson,0.9846404248506886,0.002799961981079472,0.6306622286963616,0.233535403953796,62.61752662221185,18.432150576131736,52.313018252336576,11.740554673307022,85.05432108960647,31.767563158057193,10-Fold,Feature_Sweep,L1_Lasso,30.0,,
RandomForest,0.9325145913479442,0.005789577472766578,0.64376774718052,0.23496490260285222,113.2307962371796,84.60306060093997,58.31799684797426,14.33230300606158,84.70275859584123,34.70163210150306,10-Fold,Feature_Sweep,Mutual_Information,30.0,,
HistGB_Poisson,0.9737420952888222,0.004426586252562055,0.6977235292855171,0.2373762629852071,71.91141815664548,29.948453068134427,55.43723990335697,11.318533392752888,92.4794703511341,32.56965191239885,10-Fold,Feature_Sweep,Mutual_Information,30.0,,
RandomForest,0.9445074271382993,0.0054291165030706705,0.6783994113045061,0.2829666547884397,86.81043326886734,50.828712632537155,54.65641249934801,12.564434312122666,80.66608715491189,33.79600731078008,10-Fold,Feature_Sweep,Random_Forest,30.0,,
HistGB_Poisson,0.9868397338544502,0.002669576897844463,0.7111731795412591,0.17842224348855298,65.94917969612277,27.596514016977768,52.42956954550944,11.35625856051928,77.53661565075373,34.40702422564124,10-Fold,Feature_Sweep,Random_Forest,30.0,,
