pm_tot
115.0
114.0
21.0
40.0
41.0
38.0
116.0
68.0
42.0
62.0
80.0
144.0
279.0
13.0
46.0
22.0
31.0
27.0
75.0
83.0
26.0
112.0
43.0
30.0
21.0
51.0
15.0
55.0
148.0
86.0
68.0
58.0
24.0
77.0
58.0
205.0
215.0
60.0
11.0
329.0
9.0
25.0
42.0
84.0
72.0
43.0
18.0
91.0
100.0
10.0
93.0
53.0
66.0
235.0
29.0
82.0
118.0
512.0
12.0
650.0
22.0
330.0
45.0
616.0
14.0
496.0
98.0
247.0
48.0
18.0
18.0
24.0
274.0
630.0
374.0
232.0
125.0
188.0
156.0
450.0
221.0
17.0
124.0
621.0
188.0
346.0
130.0
151.0
314.0
94.0
108.0
17.0
134.0
0.0
0.0
152.0
113.0
53.0
23.0
39.0
30.0
