model,MAE,RMSE,R2,PoissonDev,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,cv_PDev_mean,cv_PDev_std
RandomForest,55.36073074096069,86.49168964673902,0.6600354621113876,47.59866096608618,57.00836834044025,17.111737597957454,84.28009116367726,26.716987985733166,0.5745595942110786,0.2459292538561485,48.3965972410338,23.83865106131649
HistGB_Poisson,57.556303680993345,90.66809156187607,0.6264112376217554,49.84876214972199,54.431553709701205,12.100465292871451,85.04274898258596,22.52698067269597,0.5710793463800876,0.22105991297341226,47.67467357178064,24.308885107246198
GLM_NegativeBinomial,178.51923636883453,661.0083866054483,-18.856321425579694,238.68755826108938,,,,,,,,
